Line,ProductDescription,DateTime_Out,Feed,OutputGood,Scrap,Error_Count,Sum_Duration,Avg_Staff
1,Liraglutid 1.8 mg,2018-01-04 12:00:00,5791,5724,67,46,1030,3
1,Liraglutid 1.8 mg,2018-01-04 13:00:00,8924,8748,176,43,430,3
1,Liraglutid 1.8 mg,2018-01-04 14:00:00,8240,8262,-22,28,6306,3
1,Liraglutid 1.8 mg,2018-01-04 15:00:00,5650,6120,-470,12,842,3
1,NovoMix 30 GLY (CCH),2018-01-04 17:00:00,6066,5616,450,22,758,3
1,NovoMix 30 GLY (CCH),2018-01-04 18:00:00,8280,8100,180,53,978,3
1,NovoMix 30 GLY (CCH),2018-01-04 19:00:00,8100,8046,54,35,364,3
1,NovoMix 30 GLY (CCH),2018-01-04 20:00:00,9710,9558,152,35,308,3
1,NovoMix 30 GLY (CCH),2018-01-04 21:00:00,9584,9504,80,29,894,2.5
1,NovoMix 30 GLY (CCH),2018-01-04 22:00:00,8263,8316,-53,73,280,2
1,NovoMix 30 GLY (CCH),2018-01-04 23:00:00,10224,10152,72,25,688,2
1,NovoMix 30 GLY (CCH),2018-01-05 00:00:00,8868,8748,120,18,4292,2
1,NovoMix 30 GLY (CCH),2018-01-05 01:00:00,6256,6156,100,5,948,2
1,NovoMix 30 GLY (CCH),2018-01-05 02:00:00,52,54,-2,20,448,2
1,NovoMix 30 GLY (CCH),2018-01-05 03:00:00,9400,9414,-14,35,362,2
1,NovoMix 30 GLY (CCH),2018-01-05 04:00:00,10104,10044,60,61,454,2
1,NovoMix 30 GLY (CCH),2018-01-05 05:00:00,9430,9396,34,73,530,2
1,NovoMix 30 GLY (CCH),2018-01-05 06:00:00,9128,9018,110,99,2680,2
1,NovoMix 30 GLY (CCH),2018-01-05 07:00:00,6946,7416,-470,2,3796,2
1,Liraglutid 1.8 mg,2018-01-05 14:00:00,3868,3510,358,22,4638,2.33333333333333
1,Liraglutid 1.8 mg,2018-01-05 15:00:00,9980,9828,152,9,1310,2.33333333333333
1,Liraglutid 1.8 mg,2018-01-05 16:00:00,9836,9774,62,39,304,2.5
1,Liraglutid 1.8 mg,2018-01-05 17:00:00,10056,10098,-42,26,420,2.5
1,Liraglutid 1.8 mg,2018-01-05 18:00:00,10152,10098,54,32,316,2.5
1,Liraglutid 1.8 mg,2018-01-05 19:00:00,10044,9936,108,90,290,2.5
1,Liraglutid 1.8 mg,2018-01-05 20:00:00,9471,9396,75,48,342,2.5
1,Liraglutid 1.8 mg,2018-01-05 21:00:00,9724,9666,58,49,408,2.5
1,Liraglutid 1.8 mg,2018-01-05 22:00:00,9744,9612,132,75,360,2.5
1,Liraglutid 1.8 mg,2018-01-05 23:00:00,8756,8802,-46,31,402,2.5
1,Liraglutid 1.8 mg,2018-01-06 00:00:00,9192,9180,12,32,32686,2.5
1,Liraglutid 1.8 mg,2018-01-06 01:00:00,9974,9774,200,36,686,2.5
1,Liraglutid 1.8 mg,2018-01-06 02:00:00,9795,9774,21,36,612,2.5
1,Liraglutid 1.8 mg,2018-01-06 03:00:00,9199,9126,73,27,398,2.5
1,Liraglutid 1.8 mg,2018-01-06 04:00:00,8941,8802,139,49,428,2.5
1,Liraglutid 1.8 mg,2018-01-06 05:00:00,9019,9018,1,38,514,2.5
1,Liraglutid 1.8 mg,2018-01-06 06:00:00,9779,9612,167,47,588,2.5
1,Liraglutid 1.8 mg,2018-01-06 07:00:00,8950,9018,-68,25,368,2.5
1,Liraglutid 1.8 mg,2018-01-06 08:00:00,8556,8424,132,33,328,2.5
1,Liraglutid 1.8 mg,2018-01-06 09:00:00,8040,7938,102,27,660,2.5
1,Liraglutid 1.8 mg,2018-01-06 10:00:00,7520,7560,-40,15,866,2.5
1,Liraglutid 1.8 mg,2018-01-06 11:00:00,9672,9450,222,51,812,2.5
1,Liraglutid 1.8 mg,2018-01-06 12:00:00,8204,8316,-112,28,162,2.5
1,Liraglutid 1.8 mg,2018-01-06 13:00:00,10436,10260,176,27,492,2.5
1,Liraglutid 1.8 mg,2018-01-06 14:00:00,8767,8640,127,40,180,2.5
1,Liraglutid 1.8 mg,2018-01-06 15:00:00,5945,5886,59,34,902,2.2
1,Liraglutid 1.8 mg,2018-01-06 16:00:00,8596,8532,64,20,58206,2
1,Liraglutid 1.8 mg,2018-01-06 17:00:00,7914,7938,-24,30,1582,2
1,Liraglutid 1.8 mg,2018-01-06 18:00:00,7455,7344,111,18,654,2
1,Liraglutid 1.8 mg,2018-01-06 19:00:00,6120,6156,-36,33,674,2
1,Liraglutid 1.8 mg,2018-01-06 20:00:00,9028,8910,118,37,1032,2
1,Liraglutid 1.8 mg,2018-01-06 21:00:00,3063,3186,-123,32,1566,2
1,Liraglutid 1.8 mg,2018-01-06 22:00:00,9095,8856,239,34,326,2
1,Liraglutid 1.8 mg,2018-01-06 23:00:00,10060,9936,124,15,388,2
1,Liraglutid 1.8 mg,2018-01-07 00:00:00,5024,5508,-484,36,492,2
1,Liraglutid 1.8 mg,2018-01-07 01:00:00,6966,6318,648,30,326,2
1,Liraglutid 1.8 mg,2018-01-07 02:00:00,8999,8964,35,31,2682,2
1,Liraglutid 1.8 mg,2018-01-07 03:00:00,9440,9288,152,31,394,2
1,Liraglutid 1.8 mg,2018-01-07 04:00:00,8060,7884,176,47,588,2
1,Liraglutid 1.8 mg,2018-01-07 05:00:00,8403,8316,87,50,598,2
1,Liraglutid 1.8 mg,2018-01-07 06:00:00,7828,7830,-2,39,800,2
1,Liraglutid 1.8 mg,2018-01-07 07:00:00,7900,7722,178,93,1016,3
1,Liraglutid 1.8 mg,2018-01-07 08:00:00,9108,9018,90,91,826,3
1,Liraglutid 1.8 mg,2018-01-07 09:00:00,8727,8694,33,88,540,3
1,Liraglutid 1.8 mg,2018-01-07 10:00:00,8742,8748,-6,115,410,3
1,Liraglutid 1.8 mg,2018-01-07 11:00:00,10184,10044,140,115,686,3
1,Liraglutid 1.8 mg,2018-01-07 12:00:00,9712,9666,46,31,250,3
1,Liraglutid 1.8 mg,2018-01-07 13:00:00,9588,9558,30,19,560,3
1,Liraglutid 1.8 mg,2018-01-07 14:00:00,10312,10206,106,27,304,3
1,Liraglutid 1.8 mg,2018-01-07 15:00:00,6880,6804,76,49,236,2.85714285714286
1,Liraglutid 1.8 mg,2018-01-07 16:00:00,9551,9558,-7,48,1356,2
1,Liraglutid 1.8 mg,2018-01-07 17:00:00,9368,9234,134,57,464,2
1,Liraglutid 1.8 mg,2018-01-07 18:00:00,7688,7722,-34,41,462,2
1,Liraglutid 1.8 mg,2018-01-07 19:00:00,5100,5022,78,48,2956,2
1,Liraglutid 1.8 mg,2018-01-07 20:00:00,5479,5400,79,23,312,2
1,Liraglutid 1.8 mg,2018-01-07 21:00:00,7595,7614,-19,44,1756,2
1,Liraglutid 1.8 mg,2018-01-07 22:00:00,6925,6804,121,46,808,2
1,Liraglutid 1.8 mg,2018-01-07 23:00:00,8088,8208,-120,74,810,2
1,Liraglutid 1.8 mg,2018-01-08 00:00:00,5546,5868,-322,40,940,2
1,Liraglutid 0.9 mg,2018-01-08 01:00:00,5506,4860,646,35,3154,2
1,Liraglutid 0.9 mg,2018-01-08 02:00:00,9363,9288,75,28,294,2
1,Liraglutid 0.9 mg,2018-01-08 03:00:00,8624,8424,200,47,446,2
1,Liraglutid 0.9 mg,2018-01-08 04:00:00,8634,8478,156,59,446,2
1,Liraglutid 0.9 mg,2018-01-08 05:00:00,6382,6426,-44,54,714,2
1,Liraglutid 0.9 mg,2018-01-08 06:00:00,6784,6588,196,84,1468,2.6
1,Liraglutid 0.9 mg,2018-01-08 07:00:00,8804,8640,164,35,1240,4
1,Liraglutid 0.9 mg,2018-01-08 08:00:00,9324,9180,144,51,718,4
1,Liraglutid 0.9 mg,2018-01-08 09:00:00,8920,8910,10,60,482,4
1,Liraglutid 0.9 mg,2018-01-08 10:00:00,9176,8964,212,122,604,4
1,Liraglutid 0.9 mg,2018-01-08 11:00:00,9388,9288,100,101,582,4
1,Liraglutid 0.9 mg,2018-01-08 12:00:00,6698,6642,56,67,364,4
1,Liraglutid 0.9 mg,2018-01-08 13:00:00,10095,10044,51,54,1402,4
1,Liraglutid 0.9 mg,2018-01-08 14:00:00,8943,8802,141,62,324,4
1,Liraglutid 0.9 mg,2018-01-08 15:00:00,9863,9720,143,52,650,4
1,Liraglutid 0.9 mg,2018-01-08 16:00:00,7490,7974,-484,56,416,4
1,Liraglutid 1.8 mg,2018-01-08 18:00:00,5087,4698,389,11,578,4
1,Liraglutid 1.8 mg,2018-01-08 19:00:00,9530,9450,80,30,378,4
1,Liraglutid 1.8 mg,2018-01-08 20:00:00,9436,9288,148,46,708,4
1,Liraglutid 1.8 mg,2018-01-08 21:00:00,10376,10260,116,41,494,4
1,Liraglutid 1.8 mg,2018-01-08 22:00:00,10096,10044,52,27,794,4
1,Liraglutid 1.8 mg,2018-01-08 23:00:00,8564,8586,-22,60,486,4
1,Liraglutid 1.8 mg,2018-01-09 00:00:00,9801,9720,81,26,192,4
1,Liraglutid 1.8 mg,2018-01-09 01:00:00,8720,8586,134,42,202,4
1,Liraglutid 1.8 mg,2018-01-09 02:00:00,9963,9882,81,27,192,4
1,Liraglutid 1.8 mg,2018-01-09 03:00:00,8088,7938,150,34,468,4
1,Liraglutid 1.8 mg,2018-01-09 04:00:00,8072,8046,26,34,1812,4
1,Liraglutid 1.8 mg,2018-01-09 05:00:00,7340,7290,50,26,542,4
1,Liraglutid 1.8 mg,2018-01-09 06:00:00,9199,9126,73,21,588,4
1,Liraglutid 1.8 mg,2018-01-09 07:00:00,8916,8910,6,24,1490,4
1,Liraglutid 1.8 mg,2018-01-09 08:00:00,8936,8856,80,43,400,4
1,Liraglutid 1.8 mg,2018-01-09 09:00:00,7980,7830,150,37,296,4
1,Liraglutid 1.8 mg,2018-01-09 10:00:00,4476,4482,-6,23,1034,4
1,Liraglutid 1.8 mg,2018-01-09 11:00:00,9792,9666,126,36,850,4
1,Liraglutid 1.8 mg,2018-01-09 12:00:00,5893,6372,-479,33,188,4
1,Liraglutid 1.8 mg,2018-01-09 13:00:00,5113,4644,469,35,176,4
1,Liraglutid 1.8 mg,2018-01-09 14:00:00,10143,9990,153,45,516,4
1,Liraglutid 1.8 mg,2018-01-09 15:00:00,9276,9234,42,47,716,4
1,Liraglutid 1.8 mg,2018-01-09 16:00:00,9684,9612,72,28,274,3.5
1,Liraglutid 1.8 mg,2018-01-09 17:00:00,8366,8316,50,77,606,3
1,Liraglutid 1.8 mg,2018-01-09 18:00:00,9112,9018,94,36,506,3
1,Liraglutid 1.8 mg,2018-01-09 19:00:00,8578,8586,-8,48,388,3
1,Liraglutid 1.8 mg,2018-01-09 20:00:00,8399,8316,83,25,4706,3
1,Liraglutid 1.8 mg,2018-01-09 21:00:00,9132,9072,60,31,720,3
1,Liraglutid 1.8 mg,2018-01-09 22:00:00,9376,9342,34,63,360,3
1,Liraglutid 1.8 mg,2018-01-09 23:00:00,8824,8694,130,36,374,3
1,Liraglutid 1.8 mg,2018-01-10 00:00:00,8868,8856,12,41,348,3
1,Liraglutid 1.8 mg,2018-01-10 01:00:00,8956,8892,64,31,472,3
1,Liraglutid 1.8 mg,2018-01-10 02:00:00,9924,9882,42,42,778,3
1,Liraglutid 1.8 mg,2018-01-10 03:00:00,9448,9342,106,45,360,3
1,Liraglutid 1.8 mg,2018-01-10 04:00:00,9196,9180,16,39,332,3
1,Liraglutid 1.8 mg,2018-01-10 05:00:00,6211,6102,109,62,972,3
1,Liraglutid 1.8 mg,2018-01-10 06:00:00,8980,9018,-38,38,556,3
1,Liraglutid 1.8 mg,2018-01-10 07:00:00,8812,8748,64,38,456,3
1,Liraglutid 1.8 mg,2018-01-10 08:00:00,8340,8262,78,36,694,3
1,Liraglutid 1.8 mg,2018-01-10 09:00:00,8584,8532,52,61,504,2
1,Liraglutid 1.8 mg,2018-01-10 10:00:00,7650,7560,90,42,880,2
1,Liraglutid 1.8 mg,2018-01-10 11:00:00,7092,7236,-144,30,186,2
1,Liraglutid 1.8 mg,2018-01-10 12:00:00,9003,8694,309,38,1284,2
1,Liraglutid 1.8 mg,2018-01-10 13:00:00,8700,8694,6,34,664,2
1,Liraglutid 1.8 mg,2018-01-10 14:00:00,9520,9396,124,39,306,2
1,Liraglutid 1.8 mg,2018-01-10 15:00:00,7669,7668,1,90,354,2
1,Liraglutid 1.8 mg,2018-01-10 16:00:00,6993,6912,81,39,1966,2
1,Liraglutid 1.8 mg,2018-01-10 17:00:00,4572,4644,-72,46,606,2
1,Liraglutid 1.8 mg,2018-01-10 18:00:00,7919,7830,89,89,732,2
1,Liraglutid 1.8 mg,2018-01-10 19:00:00,7561,7506,55,29,312,2
1,Liraglutid 1.8 mg,2018-01-10 20:00:00,4312,4374,-62,33,206,2
1,Liraglutid 1.8 mg,2018-01-10 21:00:00,620,486,134,77,416,2
1,Liraglutid 1.8 mg,2018-01-10 22:00:00,8936,8856,80,31,444,2
1,Liraglutid 1.8 mg,2018-01-10 23:00:00,9676,9720,-44,40,432,2
1,Liraglutid 1.8 mg,2018-01-11 00:00:00,4690,5148,-458,44,212,2
1,Liraglutid 1.8 mg,2018-01-11 01:00:00,5394,4860,534,65,374,2
1,Liraglutid 1.8 mg,2018-01-11 02:00:00,9056,9018,38,100,870,2
1,Liraglutid 1.8 mg,2018-01-11 03:00:00,9363,9234,129,61,420,2
1,Liraglutid 1.8 mg,2018-01-11 04:00:00,9256,9180,76,43,222,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-11 05:00:00,4466,4428,38,60,312,4
1,Liraglutid 1.8 mg,2018-01-11 06:00:00,7256,7236,20,50,602,4
1,Liraglutid 1.8 mg,2018-01-11 07:00:00,4232,4212,20,128,360,3.5
1,Liraglutid 1.8 mg,2018-01-11 08:00:00,4984,4914,70,83,3448,3
1,Liraglutid 1.8 mg,2018-01-11 09:00:00,3378,3294,84,1,2050,3
1,Liraglutid 1.8 mg,2018-01-11 10:00:00,6012,5994,18,28,648,3
1,Liraglutid 1.8 mg,2018-01-11 11:00:00,3996,3942,54,32,172,3
1,Liraglutid 1.8 mg,2018-01-11 12:00:00,4364,4320,44,48,632,3
1,Liraglutid 1.8 mg,2018-01-11 13:00:00,6609,6588,21,24,4770,3
1,Liraglutid 1.8 mg,2018-01-11 14:00:00,7660,7560,100,4,14,3
1,Liraglutid 1.8 mg,2018-01-11 15:00:00,9516,9504,12,30,412,2.75
1,Liraglutid 1.8 mg,2018-01-11 16:00:00,5040,5022,18,29,270,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-11 17:00:00,5424,5346,78,50,350,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-11 18:00:00,5935,5886,49,53,920,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-11 19:00:00,5551,5562,-11,28,158,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-11 20:00:00,164,108,56,33,370,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-11 21:00:00,9044,8964,80,35,760,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-11 22:00:00,9266,9234,32,21,250,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-11 23:00:00,7352,7398,-46,47,624,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 00:00:00,8236,8046,190,32,846,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 01:00:00,6624,6534,90,89,1130,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 02:00:00,7339,7236,103,36,1454,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 03:00:00,8431,8424,7,26,486,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 04:00:00,5096,5076,20,27,282,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 05:00:00,7732,7614,118,66,494,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 06:00:00,7887,7830,57,33,274,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 07:00:00,5692,5670,22,42,238,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 08:00:00,8980,8910,70,28,268,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 09:00:00,9482,9396,86,62,346,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 10:00:00,4556,4536,20,51,606,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 11:00:00,2968,2916,52,6,3392,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 14:00:00,0,108,-108,10,17846,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 19:00:00,7096,6912,184,28,254,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 20:00:00,8186,8154,32,35,210,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 21:00:00,8232,8100,132,18,1404,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 22:00:00,8319,8208,111,68,710,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-12 23:00:00,8971,9018,-47,84,866,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 00:00:00,8992,8856,136,3,26658,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 01:00:00,9460,9396,64,49,644,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 02:00:00,4716,5184,-468,48,698,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 03:00:00,6948,6372,576,37,502,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 04:00:00,9418,9342,76,32,2940,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 05:00:00,8363,8262,101,29,406,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 06:00:00,7852,7938,-86,59,498,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 07:00:00,6852,6588,264,52,862,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 08:00:00,7004,6966,38,1,34200,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 09:00:00,9492,9396,96,70,1038,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 10:00:00,9928,9882,46,52,1238,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 11:00:00,8675,8586,89,82,1166,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 12:00:00,9670,9558,112,60,472,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 13:00:00,9196,9126,70,40,266,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 14:00:00,9199,9072,127,52,530,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 15:00:00,9808,9828,-20,45,348,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 16:00:00,10256,10098,158,51,602,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 17:00:00,10160,10098,62,42,324,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 18:00:00,9832,9828,4,29,390,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 19:00:00,10080,9936,144,1,61058,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 20:00:00,9980,9990,-10,43,290,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 21:00:00,10025,9882,143,47,262,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 22:00:00,9955,9990,-35,42,340,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-13 23:00:00,9876,9720,156,33,296,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-14 00:00:00,9654,9612,42,25,264,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-14 01:00:00,9976,9882,94,32,254,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-14 02:00:00,8664,8532,132,35,412,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-14 03:00:00,9624,9612,12,45,380,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-14 04:00:00,9396,9342,54,50,434,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-14 05:00:00,9744,9720,24,46,424,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-14 06:00:00,10404,10260,144,41,398,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-14 07:00:00,9883,9828,55,29,264,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-14 08:00:00,9369,9342,27,35,340,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-14 09:00:00,8251,8208,43,26,376,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-14 10:00:00,8191,8100,91,28,452,2.66666666666667
1,Liraglutid 1.8 mg,2018-01-14 11:00:00,4508,4950,-442,27,1352,2.66666666666667
1,PenMix 30 (CCH),2018-01-14 12:00:00,2218,1620,598,36,324,2.66666666666667
1,PenMix 30 (CCH),2018-01-14 13:00:00,9456,9342,114,38,234,2.66666666666667
1,PenMix 30 (CCH),2018-01-14 14:00:00,9551,9396,155,32,328,2.66666666666667
1,PenMix 30 (CCH),2018-01-14 15:00:00,10496,10368,128,90,422,2.66666666666667
1,PenMix 30 (CCH),2018-01-14 16:00:00,9776,9666,110,27,142,2.66666666666667
1,PenMix 30 (CCH),2018-01-14 17:00:00,9542,9558,-16,31,564,2.66666666666667
1,PenMix 30 (CCH),2018-01-14 18:00:00,10203,10044,159,58,302,2.66666666666667
1,PenMix 30 (CCH),2018-01-14 19:00:00,10394,10368,26,68,520,2.66666666666667
1,PenMix 30 (CCH),2018-01-14 20:00:00,9546,9504,42,54,678,2.66666666666667
1,PenMix 30 (CCH),2018-01-14 21:00:00,9223,8946,277,60,268,2.66666666666667
1,PenMix 30 (CCH),2018-01-14 22:00:00,9325,9558,-233,38,408,2.66666666666667
1,PenMix 30 (CCH),2018-01-14 23:00:00,2330,1926,404,55,572,2.42857142857143
1,PenMix 30 (CCH),2018-01-14 23:00:00,2330,1926,404,55,572,2.42857142857143
1,PenMix 30 (CCH),2018-01-15 00:00:00,9244,9180,64,75,372,2
1,PenMix 30 (CCH),2018-01-15 01:00:00,9628,9774,-146,49,376,2
1,PenMix 30 (CCH),2018-01-15 02:00:00,5719,5562,157,44,3570,2
1,PenMix 30 (CCH),2018-01-15 03:00:00,9380,9234,146,20,1386,2
1,PenMix 30 (CCH),2018-01-15 04:00:00,9087,9018,69,29,238,2
1,PenMix 30 (CCH),2018-01-15 05:00:00,9123,9126,-3,38,560,2
1,PenMix 30 (CCH),2018-01-15 06:00:00,9440,9396,44,36,328,2
1,PenMix 30 (CCH),2018-01-15 07:00:00,9595,9450,145,59,598,2
1,PenMix 30 (CCH),2018-01-15 08:00:00,9953,9882,71,53,168,2
1,PenMix 30 (CCH),2018-01-15 09:00:00,9227,9234,-7,56,210,2
1,PenMix 30 (CCH),2018-01-15 10:00:00,10164,10044,120,36,4354,2
1,PenMix 30 (CCH),2018-01-15 11:00:00,10351,10260,91,20,120,2
1,PenMix 30 (CCH),2018-01-15 12:00:00,9408,9450,-42,32,98,2
1,PenMix 30 (CCH),2018-01-15 13:00:00,10648,10530,118,36,308,2
1,PenMix 30 (CCH),2018-01-15 14:00:00,10347,10314,33,32,152,2
1,PenMix 30 (CCH),2018-01-15 15:00:00,10884,10800,84,46,244,2
1,PenMix 30 (CCH),2018-01-15 16:00:00,9900,9882,18,45,452,2
1,PenMix 30 (CCH),2018-01-15 17:00:00,10164,10098,66,38,354,2
1,PenMix 30 (CCH),2018-01-15 18:00:00,9392,9342,50,79,274,2
1,PenMix 30 (CCH),2018-01-15 19:00:00,9192,9180,12,71,802,2
1,PenMix 30 (CCH),2018-01-15 20:00:00,3583,3564,19,51,482,2
1,PenMix 30 (CCH),2018-01-15 21:00:00,4523,4482,41,68,454,2
1,PenMix 30 (CCH),2018-01-15 22:00:00,6076,6048,28,34,3770,2
1,PenMix 30 (CCH),2018-01-15 23:00:00,7572,7506,66,41,640,2
1,PenMix 30 (CCH),2018-01-16 00:00:00,9083,9072,11,26,2360,2
1,PenMix 30 (CCH),2018-01-16 01:00:00,9027,9072,-45,47,1712,2
1,PenMix 30 (CCH),2018-01-16 02:00:00,8856,8748,108,52,610,2
1,PenMix 30 (CCH),2018-01-16 03:00:00,8484,8424,60,42,170,2
1,PenMix 30 (CCH),2018-01-16 04:00:00,9487,9558,-71,43,220,2
1,PenMix 30 (CCH),2018-01-16 05:00:00,8015,7830,185,46,100,2
1,PenMix 30 (CCH),2018-01-16 06:00:00,8657,8640,17,96,366,2
1,PenMix 30 (CCH),2018-01-16 07:00:00,8723,8694,29,52,360,2
1,PenMix 30 (CCH),2018-01-16 08:00:00,9635,9558,77,84,390,2
1,PenMix 30 (CCH),2018-01-16 09:00:00,2480,2430,50,70,960,2
1,PenMix 30 (CCH),2018-01-16 10:00:00,10507,10476,31,86,422,2
